City,Date,Target,Type,Real,Mkt,Ours,Edge,Signal,Result,Correct,P&L
Singapore,2026-04-15,34°C,exact_c,29.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Singapore,2026-04-15,35°C,gte_c,29.6°C,0.015,0.05,0.035,SKIP,NO,,0.0
Wellington,2026-04-15,13°C,exact_c,16.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Wellington,2026-04-15,14°C,exact_c,16.6°C,0.027,0.02,-0.007,SKIP,NO,,0.0
Wellington,2026-04-15,15°C,exact_c,16.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Wellington,2026-04-15,16°C,exact_c,16.6°C,0.16,0.1,-0.06,BUY NO,NO,True,16.0
Wellington,2026-04-15,17°C,exact_c,16.6°C,0.3,0.9,0.6,BUY YES,YES,True,70.0
Wellington,2026-04-15,18°C,exact_c,16.6°C,0.44,0.1,-0.34,BUY NO,NO,True,44.0
Wellington,2026-04-15,19°C,exact_c,16.6°C,0.135,0.02,-0.115,BUY NO,NO,True,13.5
Wellington,2026-04-15,20°C,gte_c,16.6°C,0.021,0.05,0.03,SKIP,NO,,0.0
Munich,2026-04-15,7°C,exact_c,13.6°C,0.013,0.02,0.007,SKIP,NO,,0.0
Munich,2026-04-15,9°C,exact_c,13.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Munich,2026-04-15,10°C,exact_c,13.6°C,0.013,0.02,0.007,SKIP,NO,,0.0
Munich,2026-04-15,11°C,exact_c,13.6°C,0.015,0.02,0.005,SKIP,NO,,0.0
Munich,2026-04-15,12°C,exact_c,13.6°C,0.029,0.02,-0.009,SKIP,NO,,0.0
Munich,2026-04-15,13°C,exact_c,13.6°C,0.11,0.1,-0.01,SKIP,NO,,0.0
Munich,2026-04-15,14°C,exact_c,13.6°C,0.415,0.9,0.485,BUY YES,YES,True,58.5
Munich,2026-04-15,15°C,exact_c,13.6°C,0.315,0.1,-0.215,BUY NO,NO,True,31.5
Munich,2026-04-15,16°C,gte_c,13.6°C,0.27,0.05,-0.22,BUY NO,NO,True,27.0
Tokyo,2026-04-15,14°C,lte_c,23.0°C,0.026,0.05,0.024,SKIP,NO,,0.0
Tokyo,2026-04-15,16°C,exact_c,23.0°C,0.011,0.02,0.009,SKIP,NO,,0.0
Tokyo,2026-04-15,17°C,exact_c,23.0°C,0.011,0.02,0.009,SKIP,NO,,0.0
Tokyo,2026-04-15,18°C,exact_c,23.0°C,0.035,0.02,-0.015,SKIP,NO,,0.0
Tokyo,2026-04-15,19°C,exact_c,23.0°C,0.088,0.02,-0.068,BUY NO,NO,True,8.8
Tokyo,2026-04-15,20°C,exact_c,23.0°C,0.47,0.02,-0.45,BUY NO,NO,True,47.0
Tokyo,2026-04-15,21°C,exact_c,23.0°C,0.375,0.02,-0.355,BUY NO,NO,True,37.5
Tokyo,2026-04-15,22°C,exact_c,23.0°C,0.201,0.1,-0.101,BUY NO,NO,True,20.05
Tokyo,2026-04-15,23°C,exact_c,23.0°C,0.035,0.9,0.866,BUY YES,YES,True,96.55
Tokyo,2026-04-15,24°C,gte_c,23.0°C,0.011,0.05,0.039,SKIP,NO,,0.0
Warsaw,2026-04-15,6°C,exact_c,15.6°C,0.019,0.02,0.001,SKIP,NO,,0.0
Warsaw,2026-04-15,7°C,exact_c,15.6°C,0.022,0.02,-0.002,SKIP,NO,,0.0
Warsaw,2026-04-15,9°C,exact_c,15.6°C,0.075,0.02,-0.055,BUY NO,NO,True,7.5
Warsaw,2026-04-15,10°C,exact_c,15.6°C,0.018,0.02,0.002,SKIP,NO,,0.0
Warsaw,2026-04-15,11°C,exact_c,15.6°C,0.027,0.02,-0.007,SKIP,NO,,0.0
Warsaw,2026-04-15,12°C,exact_c,15.6°C,0.011,0.02,0.009,SKIP,NO,,0.0
Warsaw,2026-04-15,13°C,exact_c,15.6°C,0.017,0.02,0.003,SKIP,NO,,0.0
Warsaw,2026-04-15,14°C,exact_c,15.6°C,0.108,0.02,-0.088,BUY NO,NO,True,10.85
Warsaw,2026-04-15,15°C,gte_c,15.6°C,0.855,0.6,-0.255,BUY NO,YES,False,-14.5
Beijing,2026-04-14,18°C,lte_c,18.1°C,0.074,0.6,0.526,BUY YES,YES,True,92.6
Beijing,2026-04-14,19°C,exact_c,18.1°C,0.185,0.1,-0.085,BUY NO,NO,True,18.5
Beijing,2026-04-14,20°C,exact_c,18.1°C,0.255,0.02,-0.235,BUY NO,NO,True,25.5
Beijing,2026-04-14,21°C,exact_c,18.1°C,0.295,0.02,-0.275,BUY NO,NO,True,29.5
Beijing,2026-04-14,22°C,exact_c,18.1°C,0.12,0.02,-0.1,BUY NO,NO,True,12.0
Beijing,2026-04-14,23°C,exact_c,18.1°C,0.028,0.02,-0.007,SKIP,NO,,0.0
Beijing,2026-04-14,24°C,exact_c,18.1°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Beijing,2026-04-14,25°C,exact_c,18.1°C,0.011,0.02,0.009,SKIP,NO,,0.0
Beijing,2026-04-14,26°C,exact_c,18.1°C,0.011,0.02,0.009,SKIP,NO,,0.0
Lucknow,2026-04-14,35°C,lte_c,38.7°C,0.011,0.05,0.039,SKIP,NO,,0.0
Lucknow,2026-04-14,36°C,exact_c,38.7°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Lucknow,2026-04-14,37°C,exact_c,38.7°C,0.075,0.02,-0.055,BUY NO,NO,True,7.5
Lucknow,2026-04-14,38°C,exact_c,38.7°C,0.924,0.1,-0.825,BUY NO,NO,True,92.45
Lucknow,2026-04-14,39°C,exact_c,38.7°C,0.42,0.9,0.48,BUY YES,YES,True,58.0
Lucknow,2026-04-14,40°C,exact_c,38.7°C,0.057,0.1,0.044,SKIP,NO,,0.0
Lucknow,2026-04-14,41°C,exact_c,38.7°C,0.015,0.02,0.005,SKIP,NO,,0.0
Lucknow,2026-04-14,42°C,exact_c,38.7°C,0.013,0.02,0.007,SKIP,NO,,0.0
Lucknow,2026-04-14,43°C,exact_c,38.7°C,0.03,0.02,-0.01,SKIP,NO,,0.0
Lucknow,2026-04-14,45°C,gte_c,38.7°C,0.033,0.05,0.018,SKIP,NO,,0.0
Busan,2026-04-14,14°C,lte_c,17.5°C,0.015,0.05,0.035,SKIP,NO,,0.0
Busan,2026-04-14,15°C,exact_c,17.5°C,0.017,0.02,0.003,SKIP,NO,,0.0
Busan,2026-04-14,16°C,exact_c,17.5°C,0.035,0.02,-0.015,SKIP,NO,,0.0
Busan,2026-04-14,17°C,exact_c,17.5°C,0.08,0.1,0.02,SKIP,NO,,0.0
Busan,2026-04-14,18°C,exact_c,17.5°C,0.275,0.1,-0.175,BUY NO,NO,True,27.5
Busan,2026-04-14,19°C,exact_c,17.5°C,0.2,0.02,-0.18,BUY NO,NO,True,20.0
Busan,2026-04-14,20°C,exact_c,17.5°C,0.165,0.02,-0.145,BUY NO,NO,True,16.5
Busan,2026-04-14,21°C,exact_c,17.5°C,0.035,0.02,-0.015,SKIP,NO,,0.0
Busan,2026-04-14,22°C,exact_c,17.5°C,0.026,0.02,-0.006,SKIP,NO,,0.0
Busan,2026-04-14,23°C,exact_c,17.5°C,0.014,0.02,0.006,SKIP,NO,,0.0
Nyc,2026-04-14,71°F,lte_f,31.1°C,0.041,0.05,0.01,SKIP,NO,,0.0
Nyc,2026-04-14,90°F,gte_f,31.1°C,0.014,0.05,0.036,SKIP,NO,,0.0
London,2026-04-14,13°C,exact_c,16.5°C,0.015,0.02,0.005,SKIP,NO,,0.0
London,2026-04-14,14°C,exact_c,16.5°C,0.058,0.02,-0.038,SKIP,NO,,0.0
London,2026-04-14,15°C,exact_c,16.5°C,0.17,0.02,-0.15,BUY NO,NO,True,17.0
London,2026-04-14,16°C,exact_c,16.5°C,0.49,0.1,-0.39,BUY NO,NO,True,49.0
London,2026-04-14,17°C,exact_c,16.5°C,0.295,0.1,-0.195,BUY NO,NO,True,29.5
London,2026-04-14,18°C,exact_c,16.5°C,0.029,0.02,-0.009,SKIP,NO,,0.0
London,2026-04-14,19°C,exact_c,16.5°C,0.028,0.02,-0.008,SKIP,NO,,0.0
London,2026-04-14,20°C,gte_c,16.5°C,0.041,0.05,0.009,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,25°C,lte_c,30.2°C,0.04,0.05,0.01,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,26°C,exact_c,30.2°C,0.065,0.02,-0.045,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,27°C,exact_c,30.2°C,0.013,0.02,0.007,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,28°C,exact_c,30.2°C,0.012,0.02,0.008,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,29°C,exact_c,30.2°C,0.024,0.1,0.076,BUY YES,NO,False,-2.4
Kuala Lumpur,2026-04-14,30°C,exact_c,30.2°C,0.21,0.9,0.69,BUY YES,YES,True,79.0
Kuala Lumpur,2026-04-14,31°C,exact_c,30.2°C,0.37,0.1,-0.27,BUY NO,NO,True,37.0
Kuala Lumpur,2026-04-14,32°C,exact_c,30.2°C,0.205,0.02,-0.185,BUY NO,NO,True,20.5
Kuala Lumpur,2026-04-14,33°C,exact_c,30.2°C,0.1,0.02,-0.08,BUY NO,NO,True,10.0
Kuala Lumpur,2026-04-14,34°C,exact_c,30.2°C,0.027,0.02,-0.007,SKIP,NO,,0.0
Kuala Lumpur,2026-04-14,35°C,gte_c,30.2°C,0.023,0.05,0.027,SKIP,NO,,0.0
Wellington,2026-04-14,11°C,lte_c,16.9°C,0.013,0.05,0.037,SKIP,NO,,0.0
Wellington,2026-04-14,12°C,exact_c,16.9°C,0.015,0.02,0.005,SKIP,NO,,0.0
Wellington,2026-04-14,13°C,exact_c,16.9°C,0.011,0.02,0.009,SKIP,NO,,0.0
Wellington,2026-04-14,14°C,exact_c,16.9°C,0.035,0.02,-0.015,SKIP,NO,,0.0
Wellington,2026-04-14,15°C,exact_c,16.9°C,0.024,0.02,-0.003,SKIP,NO,,0.0
Wellington,2026-04-14,16°C,exact_c,16.9°C,0.105,0.1,-0.005,SKIP,NO,,0.0
Wellington,2026-04-14,17°C,exact_c,16.9°C,0.32,0.9,0.58,BUY YES,YES,True,68.0
Wellington,2026-04-14,18°C,exact_c,16.9°C,0.46,0.1,-0.36,BUY NO,NO,True,46.0
Wellington,2026-04-14,19°C,exact_c,16.9°C,0.285,0.02,-0.265,BUY NO,NO,True,28.5
Wellington,2026-04-14,20°C,exact_c,16.9°C,0.039,0.02,-0.019,SKIP,NO,,0.0
Wellington,2026-04-14,21°C,gte_c,16.9°C,0.011,0.05,0.039,SKIP,NO,,0.0
Atlanta,2026-04-14,75°F,lte_f,29.0°C,0.025,0.05,0.025,SKIP,NO,,0.0
Atlanta,2026-04-14,94°F,gte_f,29.0°C,0.016,0.05,0.034,SKIP,NO,,0.0
Tokyo,2026-04-14,15°C,lte_c,23.5°C,0.018,0.05,0.032,SKIP,NO,,0.0
Tokyo,2026-04-14,17°C,exact_c,23.5°C,0.03,0.02,-0.01,SKIP,NO,,0.0
Tokyo,2026-04-14,19°C,exact_c,23.5°C,0.011,0.02,0.009,SKIP,NO,,0.0
Tokyo,2026-04-14,20°C,exact_c,23.5°C,0.032,0.02,-0.011,SKIP,NO,,0.0
Tokyo,2026-04-14,21°C,exact_c,23.5°C,0.125,0.02,-0.105,BUY NO,NO,True,12.5
Tokyo,2026-04-14,22°C,exact_c,23.5°C,0.345,0.02,-0.325,BUY NO,NO,True,34.5
Tokyo,2026-04-14,23°C,exact_c,23.5°C,0.385,0.1,-0.285,BUY NO,NO,True,38.5
Tokyo,2026-04-14,24°C,exact_c,23.5°C,0.115,0.1,-0.015,SKIP,NO,,0.0
Tokyo,2026-04-14,25°C,gte_c,23.5°C,0.024,0.05,0.027,SKIP,NO,,0.0
Panama City,2026-04-14,23°C,lte_c,33.5°C,0.13,0.05,-0.08,BUY NO,NO,True,13.0
Panama City,2026-04-14,24°C,exact_c,33.5°C,0.13,0.02,-0.11,BUY NO,NO,True,13.0
Panama City,2026-04-14,25°C,exact_c,33.5°C,0.13,0.02,-0.11,BUY NO,NO,True,13.0
Panama City,2026-04-14,26°C,exact_c,33.5°C,0.019,0.02,0.001,SKIP,NO,,0.0
Panama City,2026-04-14,27°C,exact_c,33.5°C,0.042,0.02,-0.022,SKIP,NO,,0.0
Panama City,2026-04-14,28°C,exact_c,33.5°C,0.055,0.02,-0.035,SKIP,NO,,0.0
Panama City,2026-04-14,29°C,exact_c,33.5°C,0.014,0.02,0.006,SKIP,NO,,0.0
Panama City,2026-04-14,30°C,exact_c,33.5°C,0.012,0.02,0.008,SKIP,NO,,0.0
Panama City,2026-04-14,31°C,exact_c,33.5°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Panama City,2026-04-14,32°C,exact_c,33.5°C,0.017,0.02,0.003,SKIP,NO,,0.0
Panama City,2026-04-14,33°C,gte_c,33.5°C,0.97,0.6,-0.37,BUY NO,YES,False,-3.05
Toronto,2026-04-14,21°C,lte_c,21.4°C,0.525,0.6,0.075,BUY YES,YES,True,47.5
Toronto,2026-04-14,22°C,exact_c,21.4°C,0.295,0.1,-0.195,BUY NO,NO,True,29.5
Toronto,2026-04-14,23°C,exact_c,21.4°C,0.11,0.02,-0.089,BUY NO,NO,True,10.95
Toronto,2026-04-14,24°C,exact_c,21.4°C,0.064,0.02,-0.043,SKIP,NO,,0.0
Toronto,2026-04-14,25°C,exact_c,21.4°C,0.018,0.02,0.002,SKIP,NO,,0.0
Toronto,2026-04-14,26°C,exact_c,21.4°C,0.018,0.02,0.002,SKIP,NO,,0.0
Toronto,2026-04-14,27°C,exact_c,21.4°C,0.011,0.02,0.009,SKIP,NO,,0.0
